customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerFeedback
CUST-000000,Female,1,Yes,Yes,1,No,No phone service,DSL,Month-to-month,Yes,Digital wallet,74.00,47.00,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000001,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,642.50,Yes,The service works well but the price feels high; likely to cancel without a better offer
CUST-000002,Female,0,No,No,15,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,327.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000003,Male,0,Yes,No,22,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,1041.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000004,Female,0,Yes,No,29,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,2320.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000005,Male,0,No,Yes,36,Yes,Yes,No,Two year,No,Mailed check,39.25,776.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000006,Female,0,Yes,Yes,43,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,2026.00,No,The service works well but the price feels high; no major issues this month
CUST-000007,Male,0,Yes,No,50,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,4007.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000008,Female,1,No,No,57,Yes,Yes,No,Two year,Yes,Electronic check,37.00,1225.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000009,Male,1,Yes,No,64,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,3010.50,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
CUST-000010,Female,0,Yes,Yes,71,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,5685.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000011,Male,0,No,Yes,6,No,No phone service,No,Two year,No,Credit card (automatic),32.25,136.50,No,The service works well but the price feels high; no major issues this month
CUST-000012,Female,0,Yes,No,13,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,611.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000013,Male,0,Yes,No,20,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,1602.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000014,Female,0,No,No,27,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,585.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000015,Male,0,Yes,Yes,34,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,1605.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000016,Female,1,Yes,Yes,41,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,3280.00,Yes,The service works well but the price feels high; likely to cancel without a better offer
CUST-000017,Male,1,No,No,48,Yes,Yes,No,Two year,No,Digital wallet,39.25,1034.50,No,Setup was easy and the app is straightforward; new payment option is convenient
CUST-000018,Female,0,Yes,No,55,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,2590.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000019,Male,0,Yes,No,62,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,4967.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000020,Female,0,No,Yes,69,Yes,Yes,No,Two year,Yes,Electronic check,37.00,1483.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000021,Male,0,Yes,Yes,4,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,190.50,No,The service works well but the price feels high; no major issues this month
CUST-000022,Female,0,Yes,No,11,No,No phone service,Fiber optic,One year,Yes,Bank transfer (automatic),111.50,885.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000023,Male,0,No,No,18,Yes,No,No,Two year,No,Credit card (automatic),30.75,394.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000024,Female,1,Yes,No,25,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,1175.00,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
CUST-000025,Male,1,Yes,Yes,32,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,2562.50,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000026,Female,0,No,Yes,39,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,843.50,No,The service works well but the price feels high; no major issues this month
CUST-000027,Male,0,Yes,No,46,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,2169.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000028,Female,0,Yes,No,53,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,4240.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000029,Male,0,No,No,60,Yes,Yes,No,Two year,No,Mailed check,39.25,1292.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000030,Female,0,Yes,Yes,67,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,3154.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000031,Male,0,Yes,Yes,2,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,167.50,No,The service works well but the price feels high; no major issues this month
CUST-000032,Female,1,No,No,9,Yes,Yes,No,Two year,Yes,Electronic check,37.00,193.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000033,Male,1,Yes,No,16,No,No phone service,DSL,Month-to-month,Yes,Mailed check,76.25,754.50,Yes,The connection is stable and billing is clear; likely to cancel without a better offer
CUST-000034,Female,0,Yes,No,23,Yes,No,Fiber optic,One year,Yes,Digital wallet,110.00,1845.00,No,I would keep the plan if the monthly fee was lower; new payment option is convenient
CUST-000035,Male,0,No,Yes,30,Yes,No,No,Two year,No,Credit card (automatic),30.75,652.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000036,Female,0,Yes,Yes,37,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,1739.00,No,The service works well but the price feels high; no major issues this month
CUST-000037,Male,0,Yes,No,44,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,3522.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000038,Female,0,No,No,51,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,1101.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000039,Male,0,Yes,No,58,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,2733.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000040,Female,1,Yes,Yes,65,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,5200.00,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000041,Male,1,No,Yes,72,Yes,Yes,No,Two year,No,Mailed check,39.25,1550.50,No,The service works well but the price feels high; no major issues this month
CUST-000042,Female,0,Yes,No,7,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,334.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000043,Male,0,Yes,No,14,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,1127.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000044,Female,0,No,No,21,No,No phone service,No,Two year,Yes,Electronic check,30.00,451.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000045,Male,0,Yes,Yes,28,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,1318.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000046,Female,0,Yes,Yes,35,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,2805.00,No,The service works well but the price feels high; no major issues this month
CUST-000047,Male,0,No,No,42,Yes,No,No,Two year,No,Credit card (automatic),30.75,910.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000048,Female,1,Yes,No,49,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,2303.00,Yes,The connection is stable and billing is clear; likely to cancel without a better offer
CUST-000049,Male,1,Yes,No,56,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,4482.50,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
CUST-000050,Female,0,No,Yes,63,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,1359.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000051,Male,0,Yes,Yes,70,Yes,No,DSL,Month-to-month,Yes,Digital wallet,74.75,3297.50,No,The service works well but the price feels high; new payment option is convenient
CUST-000052,Female,0,Yes,No,5,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,400.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000053,Male,0,No,No,12,Yes,Yes,No,Two year,No,Mailed check,39.25,260.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000054,Female,0,Yes,No,19,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,898.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000055,Male,0,Yes,Yes,26,No,No phone service,Fiber optic,One year,No,Credit card (automatic),109.25,2087.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000056,Female,1,No,Yes,33,Yes,Yes,No,Two year,Yes,Electronic check,37.00,709.50,No,The service works well but the price feels high; no major issues this month
CUST-000057,Male,1,Yes,No,40,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,1882.50,Yes,Setup was easy and the app is straightforward; likely to cancel without a better offer
CUST-000058,Female,0,Yes,No,47,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,3765.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000059,Male,0,No,No,54,Yes,No,No,Two year,No,Credit card (automatic),30.75,1168.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000060,Female,0,Yes,Yes,61,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,2867.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000061,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,5442.50,No,The service works well but the price feels high; no major issues this month
CUST-000062,Female,0,No,No,3,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,69.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000063,Male,0,Yes,No,10,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,477.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000064,Female,1,Yes,No,17,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,1360.00,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
CUST-000065,Male,1,No,Yes,24,Yes,Yes,No,Two year,No,Mailed check,39.25,518.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000066,Female,0,Yes,Yes,31,No,No phone service,DSL,Month-to-month,Yes,Bank transfer (automatic),74.00,1462.00,No,The service works well but the price feels high; no major issues this month
CUST-000067,Male,0,Yes,No,38,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,3047.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000068,Female,0,No,No,45,Yes,Yes,No,Two year,Yes,Digital wallet,37.00,967.50,No,The connection is stable and billing is clear; new payment option is convenient
CUST-000069,Male,0,Yes,No,52,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,2446.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000070,Female,0,Yes,Yes,59,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,4725.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000071,Male,0,No,Yes,66,Yes,No,No,Two year,No,Credit card (automatic),30.75,1426.50,No,The service works well but the price feels high; no major issues this month
CUST-000072,Female,1,Yes,No,1,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,47.00,Yes,Setup was easy and the app is straightforward; likely to cancel without a better offer
